DAIRA,COMMUNE,FORET,LONGITUDE,LATITUDE,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME
OUED ZENATI,AIN REGADA,KSAR EL AZEB,,,2010-09-18 00:00:00,1899-12-31 17:55:00,2010-09-18 00:00:00,1899-12-31 17:55:00,2010-09-18 00:00:00,1899-12-31 21:00:00,REB,85,0,0,85,INC,BM,SF+PC+DW,34000000,2010,9,18,2010,9,18,2010,9,18,17,17,21,25.96,8.45,S+N,
GUELAAT BOU SBAA,DJEBALLAH KHEMISSI,HOUARA,,,2010-09-18 00:00:00,1899-12-31 14:55:00,2010-09-18 00:00:00,1899-12-31 14:55:00,2010-09-18 00:00:00,1899-12-31 18:00:00,MAQ,0,1.5,0,1.5,INC,PV,SF+DW,300000,2010,9,18,2010,9,18,2010,9,18,14,14,18,25.96,8.45,S+N,
GUELAAT BOU SBAA,NECHMAYA,KEF GHERAB,,,2010-10-03 00:00:00,1899-12-31 14:15:00,2010-10-03 00:00:00,1899-12-31 14:15:00,2010-10-03 00:00:00,1899-12-31 16:30:00,MAQ,0,1,0,1,INC,BM,SF+PC,200000,2010,10,3,2010,10,3,2010,10,3,14,14,16,24.08,8.76,S,
KHEZARA,BOUHACHANA,DJ BARDOU,,,2010-10-03 00:00:00,1899-12-31 19:00:00,2010-10-03 00:00:00,1899-12-31 19:00:00,2010-10-03 00:00:00,1899-12-31 21:20:00,REB,0.5,0,0,0.5,INC,OCCAS,SF+CIT+DW,200000,2010,10,3,2010,10,3,2010,10,3,19,19,21,24.08,8.76,S,
KHEZARA,AIN SANDEL,GAA EL KEF,,,2010-10-04 00:00:00,1899-12-31 12:20:00,2010-10-04 00:00:00,1899-12-31 12:20:00,2010-10-04 00:00:00,1899-12-31 13:30:00,MAQ,0,2,0,2,INC,PV,SF+DW,400000,2010,10,4,2010,10,4,2010,10,4,12,12,13,25.23,8.76,S,
KHEZARA,BOUHACHANA,DJ BARDOU,,,2010-10-04 00:00:00,1899-12-31 21:45:00,2010-10-04 00:00:00,1899-12-31 21:45:00,2010-10-04 00:00:00,1899-12-31 23:00:00,REB,1,0,0,1,INC,GARDIEN,SF,400000,2010,10,4,2010,10,4,2010,10,4,21,21,23,25.23,8.76,S,
HAMMAM DEBAGH,ROKNIA,DJ DEBAGH,,,2010-10-04 00:00:00,1899-12-31 22:00:00,2010-10-04 00:00:00,1899-12-31 22:00:00,2010-10-04 00:00:00,1899-12-31 23:35:00,MAQ,0,0.05,0,0.05,INC,PV,SF+PC,10000,2010,10,4,2010,10,4,2010,10,4,22,22,23,25.23,8.76,S,
OUED ZENATI,BORDJ SABAT,MOUBIA,,,2010-10-06 00:00:00,1899-12-31 12:00:00,2010-10-06 00:00:00,1899-12-31 12:00:00,2010-10-06 00:00:00,1899-12-31 16:30:00,CL+MAQ,10,15,0,25,INC,BM,SF,7000000,2010,10,6,2010,10,6,2010,10,6,12,12,16,25.11,5.22,S,
HAMMAM DEBAGH,BOUHAMDANE,TAYA BENI AHMED,,,2010-10-07 00:00:00,1899-12-31 13:00:00,2010-10-07 00:00:00,1899-12-31 13:00:00,2010-10-07 00:00:00,1899-12-31 21:45:00,CL,5,0,0,5,INC,BM,SF+PC,2000000,2010,10,7,2010,10,7,2010,10,7,13,13,21,25.97,6.16,S,
HAMMAM DEBAGH,BOUHAMDANE,BENI AMRANE,,,2010-10-08 00:00:00,1899-12-31 13:26:00,2010-10-08 00:00:00,1899-12-31 13:26:00,2010-10-08 00:00:00,1899-12-31 15:00:00,CL,0.1,0,0,0.1,INC,BM,SF,40000,2010,10,8,2010,10,8,2010,10,8,13,13,15,24.43,6.57,S,
